COACH ID,COACH,PAKE,PAKE RANK,PASE,PASE RANK,GAMES,W,L,WIN%,R64,R32,S16,E8,F4,F2,CHAMP,TOP2,F4%,CHAMP%
1,Roy Williams,8.2,1,5.5,6,44,34,10,0.773,12,11,8,6,4,3,2,8,95.50%,53.80%
2,Tom Izzo,8,2,9.6,1,47,32,15,0.681,15,13,9,5,4,1,0,4,86.70%,34.20%
3,Brad Stevens,6.5,3,7.6,3,17,12,5,0.706,5,4,2,2,2,2,0,0,25.50%,3.70%
4,John Calipari,6.2,4,8.6,2,52,39,13,0.75,14,12,10,8,5,3,1,8,99.00%,74.90%
5,Dana Altman,6.1,5,6.7,4,24,16,8,0.667,8,8,5,2,1,0,0,1,43.10%,8.20%
6,Jim Boeheim,5.6,6,4.7,9,31,21,10,0.677,10,9,7,3,2,0,0,2,69.80%,20.80%
7,John Beilein,5.5,7,6.5,5,28,19,9,0.679,9,7,5,3,2,2,0,2,65.90%,21.50%
8,Jay Wright,4.8,8,4,14,40,29,11,0.725,13,11,6,4,4,2,2,7,92.90%,55.10%
9,Eric Musselman,4.6,9,3.6,17,16,10,6,0.625,6,4,4,2,0,0,0,0,15.80%,1.80%
10,Kevin Ollie,4.4,10,5.5,7,8,7,1,0.875,2,2,1,1,1,1,1,0,15.00%,2.90%
11,Porter Moser,4.1,11,4.6,11,8,6,2,0.75,2,2,2,1,1,0,0,0,8.30%,1.10%
12,Frank Martin,4,12,4.3,13,15,10,5,0.667,5,5,2,2,1,0,0,1,32.40%,6.70%
13,Dan Hurley,4,13,5.5,8,18,14,4,0.778,6,4,2,2,2,2,2,1,71.50%,38.80%
14,Bill Self,3.9,14,-2.5,305,55,41,14,0.745,16,16,9,7,4,3,2,12,98.80%,73.30%
15,Jim Larranaga,3.7,15,3.1,19,20,12,8,0.6,8,5,4,2,1,0,0,1,31.80%,5.10%
16,Hubert Davis,3.4,16,3,20,9,7,2,0.778,2,2,2,1,1,1,0,1,26.30%,3.80%
17,Mark Few,3.4,17,4.5,12,50,34,16,0.68,16,15,10,5,2,2,0,6,97.40%,68.70%
18,Chris Beard,3.4,18,4.7,10,16,11,5,0.688,5,5,2,2,1,1,0,0,44.30%,13.50%
19,Billy Donovan,3.2,19,4,15,18,13,5,0.722,5,4,4,4,1,0,0,2,68.60%,27.10%
20,Jim Calhoun,3.2,20,2.7,22,13,10,3,0.769,4,2,2,2,2,1,1,1,44.80%,14.40%
21,Shaheen Holloway,2.8,21,2.9,21,4,3,1,0.75,1,1,1,1,0,0,0,0,0.10%,0.00%
22,Dusty May,2.8,22,2.7,23,6,4,2,0.667,2,1,1,1,1,0,0,0,3.40%,0.40%
23,Rick Pitino,2.6,23,4,16,32,22,10,0.688,11,7,6,5,2,1,1,3,89.50%,48.50%
24,Mike Krzyzewski,2.4,24,0.1,95,44,33,11,0.75,13,11,9,6,3,2,2,11,97.20%,61.10%
25,Sean Miller,2.2,25,2,26,30,20,10,0.667,10,8,8,4,0,0,0,3,80.60%,32.40%
26,Bo Ryan,2.1,26,3.2,18,25,17,8,0.68,8,7,5,2,2,1,0,2,76.50%,28.90%
27,John Groce,2,27,2.3,24,9,4,5,0.444,5,3,1,0,0,0,0,0,4.80%,0.30%
28,Archie Miller,1.8,28,0.9,50,8,4,4,0.5,4,2,1,1,0,0,0,0,3.40%,0.10%
29,Brian Dutcher,1.6,29,2.3,25,12,7,5,0.583,5,2,2,1,1,1,0,0,22.40%,3.80%
30,Jeff Capel,1.6,30,1,46,8,5,3,0.625,3,3,1,1,0,0,0,1,17.40%,3.90%
31,Andy Enfield,1.6,31,2,27,12,6,6,0.5,6,3,2,1,0,0,0,0,16.10%,3.30%
32,Paul Mills,1.6,32,1.4,34,4,2,2,0.5,2,1,1,0,0,0,0,0,0.30%,0.00%
33,Juwan Howard,1.5,33,1,47,7,5,2,0.714,2,2,2,1,0,0,0,1,29.40%,6.40%
34,Johnny Dawkins,1.5,34,1.8,30,5,3,2,0.6,2,2,1,0,0,0,0,0,4.40%,0.30%
35,Billy Kennedy,1.5,35,2,28,8,5,3,0.625,3,3,2,0,0,0,0,0,18.60%,2.00%
36,John Giannini,1.5,36,1.8,31,3,2,1,0.667,1,1,1,0,0,0,0,0,0.80%,0.00%
37,Jerome Tang,1.5,37,1.2,40,4,3,1,0.75,1,1,1,1,0,0,0,0,7.60%,0.90%
38,Kevin Keatts,1.5,38,1.3,38,9,4,5,0.444,5,1,1,1,1,0,0,0,4.80%,0.30%
39,Darrin Horn,1.3,39,1.5,32,4,2,2,0.5,2,1,1,0,0,0,0,0,1.60%,0.10%
40,Mitch Henderson,1.3,40,1.4,35,4,2,2,0.5,2,1,1,0,0,0,0,0,0.60%,0.00%
41,Leonard Hamilton,1.3,41,1.2,41,19,11,8,0.579,8,6,4,1,0,0,0,0,34.10%,4.60%
42,Russ Pennell,1.2,42,1.5,33,3,2,1,0.667,1,1,1,0,0,0,0,0,2.90%,0.20%
43,Chris Mooney,1.2,43,1.1,43,6,3,3,0.5,3,2,1,0,0,0,0,0,4.40%,0.30%
44,Wayne Tinkle,1.2,44,0.9,51,8,3,5,0.375,5,1,1,1,0,0,0,0,2.70%,0.10%
45,Michael White,1.1,45,1.9,29,10,6,4,0.6,4,4,1,1,0,0,0,0,22.90%,5.60%
46,Nate Oats,1.1,46,0.3,86,17,10,7,0.588,7,5,3,1,1,0,0,2,52.40%,16.10%
47,Chris Mack,1,47,0.1,96,19,11,8,0.579,8,6,4,1,0,0,0,2,39.40%,6.30%
48,Mark Gottfried,1,48,1.4,36,8,4,4,0.5,4,2,2,0,0,0,0,0,6.60%,0.30%
49,Steve Donahue,1,49,1.2,42,6,2,4,0.333,4,1,1,0,0,0,0,0,2.00%,0.10%
50,Tobin Anderson,1,50,1,48,2,1,1,0.5,1,1,0,0,0,0,0,0,0.00%,0.00%
51,Brad Brownell,1,51,1.4,37,9,5,4,0.556,4,2,2,1,0,0,0,0,16.30%,2.00%
52,Chris Collins,0.9,52,0.8,57,6,3,3,0.5,3,3,0,0,0,0,0,0,3.70%,0.40%
53,Anthony Evans,0.9,53,0.9,52,2,1,1,0.5,1,1,0,0,0,0,0,0,0.00%,0.00%
54,Bob Hoffman,0.8,54,0.8,58,2,1,1,0.5,1,1,0,0,0,0,0,0,0.10%,0.00%
55,Kermit Davis Jr,0.8,55,0.9,53,2,1,1,0.5,1,1,0,0,0,0,0,0,0.10%,0.00%
56,Jerod Haase,0.8,56,0.8,59,2,1,1,0.5,1,1,0,0,0,0,0,0,0.10%,0.00%
57,James Jones,0.8,57,0.9,54,6,2,4,0.333,4,2,0,0,0,0,0,0,3.10%,0.20%
58,Dan D'Antoni,0.7,58,0.8,60,2,1,1,0.5,1,1,0,0,0,0,0,0,0.10%,0.00%
59,Russ Turner,0.7,59,0.8,61,2,1,1,0.5,1,1,0,0,0,0,0,0,0.10%,0.00%
60,Donnie Tyndall,0.7,60,0.7,67,3,1,2,0.333,2,1,0,0,0,0,0,0,0.10%,0.00%
61,Ken McDonald,0.7,61,0.5,72,2,1,1,0.5,1,1,0,0,0,0,0,0,0.20%,0.00%
62,Joe Golding,0.7,62,0.7,68,3,1,2,0.333,2,1,0,0,0,0,0,0,0.10%,0.00%
63,Brian Gregory,0.7,63,0.3,87,2,1,1,0.5,1,1,0,0,0,0,0,0,0.40%,0.00%
64,Bill Grier,0.7,64,0.8,62,2,1,1,0.5,1,1,0,0,0,0,0,0,0.10%,0.00%
65,Bob Richey,0.7,65,0.8,63,2,1,1,0.5,1,1,0,0,0,0,0,0,0.20%,0.00%
66,Jon Scheyer,0.6,66,1.3,39,6,4,2,0.667,2,2,1,1,0,0,0,0,21.20%,3.90%
67,Mark Byington,0.6,67,0.5,73,2,1,1,0.5,1,1,0,0,0,0,0,0,0.20%,0.00%
68,Greg McDermott,0.6,68,1.1,44,20,11,9,0.55,9,7,3,1,0,0,0,0,38.90%,6.90%
69,Matt McMahon,0.6,69,0.1,97,5,2,3,0.4,3,2,0,0,0,0,0,0,1.40%,0.00%
70,Jeff Boals,0.6,70,0.8,64,2,1,1,0.5,1,1,0,0,0,0,0,0,0.30%,0.00%
71,Trent Johnson,0.6,71,0.4,75,5,3,2,0.6,2,2,1,0,0,0,0,0,9.60%,1.40%
72,Ben Jacobson,0.5,72,1.1,45,8,4,4,0.5,4,3,1,0,0,0,0,0,13.10%,1.60%
73,Steve Proehm,0.5,73,0.4,76,3,2,1,0.667,1,1,1,0,0,0,0,0,7.70%,1.20%
74,Brett Reed,0.5,74,0.9,55,3,1,2,0.333,2,1,0,0,0,0,0,0,0.60%,0.00%
75,Avery Johnson,0.5,75,0.4,77,2,1,1,0.5,1,1,0,0,0,0,0,0,0.60%,0.00%
76,Dennis Gates,0.4,76,0,101,3,1,2,0.333,2,1,0,0,0,0,0,0,0.80%,0.10%
77,Mike Hopkins,0.4,77,0.4,78,2,1,1,0.5,1,1,0,0,0,0,0,0,0.50%,0.00%
78,John Pelphrey,0.4,78,0.4,79,2,1,1,0.5,1,1,0,0,0,0,0,0,0.90%,0.00%
79,Eran Ganot,0.4,79,0.8,65,2,1,1,0.5,1,1,0,0,0,0,0,0,0.60%,0.00%
80,Gary Waters,0.4,80,0.8,66,2,1,1,0.5,1,1,0,0,0,0,0,0,1.20%,0.10%
81,Ron Hunter,0.4,81,0.6,69,4,1,3,0.25,3,1,0,0,0,0,0,0,0.20%,0.00%
82,Ritchie McKay,0.3,82,0.2,90,3,1,2,0.333,2,1,0,0,0,0,0,0,0.30%,0.00%
83,Lorenzo Romar,0.3,83,0.9,56,7,4,3,0.571,3,3,1,0,0,0,0,0,15.70%,2.70%
84,Micah Shrewsberry,0.3,84,0.4,80,2,1,1,0.5,1,1,0,0,0,0,0,0,2.40%,0.20%
85,Greg Kampe,0.3,85,0.4,81,4,1,3,0.25,3,1,0,0,0,0,0,0,0.60%,0.00%
86,Buzz Williams,0.3,86,0.2,91,21,11,10,0.524,10,6,4,1,0,0,0,0,40.40%,5.90%
87,Rodney Terry,0.2,87,0.6,70,7,4,3,0.571,3,2,1,1,0,0,0,1,26.40%,6.20%
88,Kyle Smith,0.2,88,0.1,98,2,1,1,0.5,1,1,0,0,0,0,0,0,1.00%,0.10%
89,Rick Majerus,0.2,89,0.4,82,2,1,1,0.5,1,1,0,0,0,0,0,0,4.80%,0.70%
90,Saul Phillips,0.2,90,0.3,88,3,1,2,0.333,2,1,0,0,0,0,0,0,1.00%,0.00%
91,Paul Hewitt,0.2,91,0.4,83,2,1,1,0.5,1,1,0,0,0,0,0,0,2.70%,0.30%
92,Tommy Amaker,0.2,92,0.6,71,6,2,4,0.333,4,2,0,0,0,0,0,0,3.70%,0.20%
93,Scott Drew,0.2,93,-1.1,255,31,20,11,0.645,12,9,5,3,1,1,1,2,82.50%,33.60%
94,Mike Anderson,0.2,94,0.1,99,12,6,6,0.5,6,4,1,1,0,0,0,0,21.10%,4.10%
95,Steve Pikiell,0.1,95,0.1,100,3,1,2,0.333,2,1,0,0,0,0,0,0,1.80%,0.10%
96,Danny Sprinkle,0.1,96,0,102,4,1,3,0.25,3,1,0,0,0,0,0,0,0.70%,0.00%
97,Stan Heath,0.1,97,0.5,74,2,1,1,0.5,1,1,0,0,0,0,0,0,3.50%,0.30%
98,Larry Krystowiak,0.1,98,0,103,5,3,2,0.6,2,2,1,0,0,0,0,0,16.70%,2.60%
99,John Shulman,0,99,0,104,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
100,Brooks Thompson,0,100,0,105,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
101,Scott Cross,0,101,0,106,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
102,Edward Joyner Jr,0,102,0,107,2,0,2,0,2,0,0,0,0,0,0,0,0.00%,0.00%
103,Rick Stansbury,0,103,0,108,3,1,2,0.333,2,1,0,0,0,0,0,0,2.10%,0.10%
104,George Ivory,0,104,0,109,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
105,Fran O'Hanlon,0,105,0,110,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
106,Larry Eustachy,0,106,-0.3,192,3,1,2,0.333,2,1,0,0,0,0,0,0,1.80%,0.20%
107,James Green,0,107,0,111,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
108,Bill Carmody,0,108,0,112,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
109,Cy Alexander,0,109,0,113,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
110,Andrew Toole,0,110,0,114,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
111,Brad Greenberg,0,111,0,115,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
112,Donte Jackson,0,112,0,116,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
113,Donald Copeland,0,113,0,117,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
114,Donnie Jones,0,114,0,118,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
115,Greg Herenda,0,115,0,119,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
116,Jim Les,0,116,0,120,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
117,Tim Craft,0,117,0,121,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
118,John Gallagher,0,118,0,122,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
119,Mike Jones,0,119,0,123,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
120,David Richman,0,120,0,124,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
121,Jamion Christian,0,121,0,125,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
122,Bashir Mason,0,122,-0.1,140,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
123,Mike Morrell,0,123,-0.1,141,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
124,Brian Wardle,0,124,-0.1,142,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
125,Robert Jones,-0.1,125,0,126,2,0,2,0,2,0,0,0,0,0,0,0,0.00%,0.00%
126,Rob Lanier,-0.1,126,0,127,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
127,Kenny Blakeney,-0.1,127,0,128,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
128,Mike Davis,-0.1,128,-0.1,143,3,0,3,0,3,0,0,0,0,0,0,0,0.00%,0.00%
129,Zach Spiker,-0.1,129,0,129,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
130,Casey Alexander,-0.1,130,-0.1,144,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
131,LaVall Jordan,-0.1,131,0.4,84,2,1,1,0.5,1,1,0,0,0,0,0,0,3.90%,0.60%
132,Ryan Odom,-0.1,132,0.4,85,3,1,2,0.333,2,1,0,0,0,0,0,0,3.60%,0.40%
133,Brian Jones,-0.1,133,-0.1,145,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
134,Mark Turgeon,-0.1,134,-0.7,238,17,8,9,0.471,9,7,1,0,0,0,0,0,21.90%,2.70%
135,Roman Banks,-0.1,135,0,130,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
136,Phil Cunningham,-0.1,136,-0.1,146,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
137,Joe Callero,-0.1,137,0,131,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
138,Nicholas McDevitt,-0.1,138,-0.1,147,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
139,Ray McCallum,-0.1,139,-0.1,148,1,0,1,0,1,0,0,0,0,0,0,0,0.20%,0.00%
140,Bobby Braswell,-0.1,140,-0.1,149,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
141,Kevin Broadus,-0.1,141,-0.1,150,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
142,Matt Brady,-0.1,142,0,132,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
143,Dave Richman,-0.1,143,-0.1,151,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
144,Randy Monroe,-0.1,144,-0.1,152,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
145,Pat Chambers,-0.1,145,0,133,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
146,Mike McConathy,-0.1,146,-0.2,167,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
147,Greg Graham,-0.1,147,-0.2,168,1,0,1,0,1,0,0,0,0,0,0,0,0.10%,0.00%
148,Dave Loos,-0.1,148,-0.1,153,2,0,2,0,2,0,0,0,0,0,0,0,0.00%,0.00%
149,Edward Joyner,-0.1,149,0,134,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
150,Jimmy Patsos,-0.1,150,-0.1,154,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
151,Cliff Ellis,-0.1,151,0,135,2,0,2,0,2,0,0,0,0,0,0,0,0.00%,0.00%
152,Milan Brown,-0.1,152,0,136,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
153,BJ Hill,-0.1,153,-0.1,155,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
154,Rob Jeter,-0.1,154,-0.1,156,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
155,Griff Aldrich,-0.1,155,-0.2,169,2,0,2,0,2,0,0,0,0,0,0,0,0.00%,0.00%
156,Martin Ingelsby,-0.1,156,-0.1,157,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
157,John Brannen,-0.1,157,-0.3,193,2,0,2,0,2,0,0,0,0,0,0,0,0.00%,0.00%
158,Dedrique Taylor,-0.1,158,-0.2,170,2,0,2,0,2,0,0,0,0,0,0,0,0.00%,0.00%
159,Kyle Keller,-0.1,159,-0.2,171,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
160,Mike Brey,-0.2,160,-1,252,19,10,9,0.526,9,6,2,2,0,0,0,1,38.00%,6.50%
161,Keith Dambrot,-0.2,161,-0.5,220,5,1,4,0.2,4,1,0,0,0,0,0,0,0.60%,0.00%
